Element Key,Element Type,Label,Body,Link Label,Link URL,Sort Order,Published,Locale,Notes
site.title,text,Site Title,Zodiac Archive,,,10,true,en-US,Primary site title shown in hero and browser metadata.
site.subtitle,text,Site Subtitle,Case Timeline Viewer,,,20,true,en-US,Short eyebrow copy.
site.intro,rich_text,Intro Copy,Date-grouped timeline with collapsible events and source image evidence.,,,30,true,en-US,Main intro paragraph.
nav.home,nav_link,Home,,Home,/,40,true,en-US,Primary navigation item.
nav.timeline,nav_link,Timeline,,Timeline,/timeline,50,true,en-US,Primary navigation item.
nav.sources,nav_link,Sources,,Sources,/sources,60,true,en-US,Primary navigation item.
nav.about,nav_link,About,,About,/about,70,true,en-US,Primary navigation item.
footer.about,rich_text,About Us,Independent research archive organizing timeline, people, locations, and source evidence for reference.,,,80,true,en-US,Footer/about module copy.
footer.contact,link,Contact,,Email Research Team,mailto:research@example.org,90,true,en-US,Public contact action.
legal.privacy,link,Privacy Policy,,Privacy Policy,/privacy,100,true,en-US,Legal link.
legal.terms,link,Terms of Use,,Terms of Use,/terms,110,true,en-US,Legal link.
legal.disclaimer,rich_text,Research Disclaimer,Content is provided for research and reference use and may include links to external sources.,,,120,true,en-US,Footer legal/disclaimer block.
